Country,Region,antimicrobial_mg_per_population,kilograms_eggs_per_year_per_capita,expected_schooling_years,ibs_rate_2017,kilograms_meat_per_year_per_capita,kilograms_milk_per_year_per_capita,PercentResistant
Israel,Middle East and North Africa,51.04705,12.29183,15.03,70.9,112.3838,179.6811,Empty
Italy,Europe and Central Asia,72.59271,12.18,16.658,93.8,72.86217,227.9344,0.32
Jamaica,Latin America and the Caribbean,46.42536,3.515365,12.46,7.2,64.65084,101.4178,Empty
Japan,East Asia and Pacific,62.79357,19.75332,15.456,39.2,59.91444,61.62997,0.29
Jersey,Europe and Central Asia,Empty,Empty,Empty,Empty,Empty,Empty,Empty
Jordan,Middle East and North Africa,41.05746,4.381492,12.627,31.4,37.98964,65.74244,0.53
Kazakhstan,Europe and Central Asia,88.82079,7.542468,14.816,31.3,67.95967,274.7434,Empty
Kenya,Sub-Saharan Africa,25.19668,1.125314,11.384,11.0,10.90459,81.53052,0.58
Kiribati,East Asia and Pacific,Empty,2.946819,11.803,25.5,43.15632,18.07315,Empty
Korea,East Asia and Pacific,121.5339,12.6081,16.51,75.2,83.45363,31.37016,0.41
Kuwait,Middle East and North Africa,51.57773,16.87266,15.691,30.9,76.65247,139.3715,0.49
Kyrgyzstan,Europe and Central Asia,107.8798,5.614652,12.995,31.3,36.37608,192.1088,Empty
Laos,East Asia and Pacific,107.5831,2.061914,Empty,15.6,29.84297,7.291407,0.3
Latvia,Europe and Central Asia,16.15828,10.64509,16.556,111.9,82.30761,215.6172,0.21
